,DWPC,HGHT,PRES,TMPC,UWND,VWND
2015-03-18 00:00:00,"[-6.278372093023256, -21.489573459715658, -33.315348101265826, -23.61580736543909, -55.522706766917295, nan]","[828.3369767441859, 1506.094881516588, 3063.431962025316, 5678.307365439093, 10633.992105263158, 16383.532]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[2.326821705426358, 0.7618009478673016, -2.7723417721518966, -14.258016997167138, -46.31338345864662, -63.86]","[-1.9031178166236093, 3.251009065869261, 17.155452071215176, 61.02635132784094, 101.13434222816691, 34.36565321676647]","[-17.92959073898639, -27.82427314254358, -23.316697320293834, -23.18619031581795, -8.234059228411773, -24.34664935848357]"
2015-03-18 03:00:00,"[-9.156923076923077, -21.713584905660397, -44.75098101265822, -23.907627118644072, -56.20936090225563, nan]","[841.2961538461539, 1517.0933962264155, 3070.520443037975, 5677.458983050848, 10623.31939849624, 16376.242]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[1.6938461538461538, -0.8340566037735806, -2.9359493670886074, -15.297288135593222, -46.6287969924812, -63.28]","[-4.885547986874341, -22.32564485342292, 14.063433199807601, 56.59022114444347, 101.44358151353225, 31.87021584158633]","[-21.276285410473985, 2.1927229036630522, -18.8771154352804, -22.298829681223168, -8.820771682814351, -21.012939304407166]"
2015-03-18 06:00:00,"[-11.69046153846154, -22.625639810426563, -43.962271293375395, -22.39050847457627, -57.587303370786515, nan]","[841.2903076923079, 1514.355639810427, 3065.253627760252, 5665.270593220338, 10596.98775280899, 16359.652]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.27384615384615524, -1.0254028436018912, -3.2618927444794945, -16.305762711864407, -47.55513108614232, -63.059999999999995]","[-8.363940849165116, 2.5140938426866963, 18.546784539307968, 52.83379516348855, 98.61098751364187, 33.60228516641286]","[-18.702000276006252, -17.049904284945907, -11.30401099859787, -22.436115419738943, -10.95539821151011, -14.974757947795702]"
2015-03-18 09:00:00,"[-13.876589147286824, -27.773554502369688, -41.940253164556964, -23.701246458923514, -55.570563909774435, nan]","[833.25511627907, 1504.4414691943132, 3055.0300316455696, 5654.704504249292, 10578.926616541354, 16345.944000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.84217054263566, -0.6927014218009441, -3.3312025316455696, -16.290594900849857, -48.71751879699248, -62.78]","[-10.576639426672019, 4.681771877433187, 23.383682543674713, 52.298838923394726, 94.26534660578442, 36.51534951017251]","[-14.359995840410209, -14.886458666773342, -9.62148761202809, -19.616742635033, -20.627562291545722, -14.448603743958929]"
2015-03-18 12:00:00,"[-14.694186046511629, -29.059620853080574, -36.563722397476326, -26.195492957746477, -53.307565543071156, nan]","[839.1427906976746, 1508.590047393365, 3052.27022082019, 5648.43647887324, 10573.575617977527, 16337.468]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-2.5111627906976755, -1.5908056872037906, -4.450220820189276, -15.636056338028169, -48.86524344569288, -62.96]","[-9.0109686127325, 4.1017298029239315, 20.690567861533523, 49.325057460538304, 88.43290756177576, 38.43020652770565]","[-6.371559249286176, -12.026704205925963, -11.643726840982897, -18.85124783718201, -13.306051718084136, -16.067823195376832]"
2015-03-18 15:00:00,"[-12.199076923076927, -31.265, -27.13744479495267, -25.585988700564975, -53.73441947565543, nan]","[844.9269230769233, 1514.7441037735848, 3057.579716088328, 5649.80988700565, 10565.411310861422, 16334.596]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-3.1384615384615397, -0.9246226415094334, -4.766624605678235, -16.1735593220339, -49.77835205992509, -62.839999999999996]","[-7.759354618689477, 3.1575313884701632, 19.305052383875477, 45.082425982200874, 84.45121155755712, 38.63037076589743]","[-3.851751114361421, -12.39431006476439, -10.183521028930013, -12.532412898300548, -5.4518464184949975, -17.055745028854563]"
2015-03-18 18:00:00,"[-10.784651162790698, -32.956161137440766, -16.033987341772153, -22.734406779661022, -54.46503759398496, nan]","[836.6906201550389, 1506.805545023697, 3050.529240506329, 5642.456101694916, 10556.886466165413, 16327.576]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.0979844961240326, -0.6168720379146903, -4.521708860759494, -16.731186440677966, -50.16263157894737, -62.800000000000004]","[-5.822974113157076, -10.117450322121721, 20.610791558087115, 45.6911967630751, 82.94935321773333, 39.051206352709784]","[-1.7181356490843611, 2.3388388007927547, -4.877810306933288, -13.478058311675657, -0.31790551901431124, -18.519494658280472]"
2015-03-18 21:00:00,"[-10.633720930232558, -22.872843601895717, -10.66, -21.48388101983003, -54.424360902255636, nan]","[822.1866666666664, 1494.790473933649, 3034.66, 5629.983059490085, 10543.382932330827, 16317.002]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.8896124031007777, -2.209763033175359, -4.36, -17.16056657223796, -50.24646616541353, -62.16]","[-4.847965379435003, -3.621764845580666, 19.4236798358124, 43.650729985610624, 77.20402059944637, 39.531526683862474]","[-1.5509131760996897, -5.041459803077746, -7.185037344082131, -12.35473213584963, 6.075527521705461, -18.957303659620745]"
2015-03-19 00:00:00,"[-10.725813953488371, -24.54336492890994, -8.245199999999992, -21.112159090909092, -54.52954887218045, nan]","[817.5634108527129, 1491.7780568720377, 3030.7637333333337, 5628.345965909091, 10533.82977443609, 16320.400000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[1.1322480620155064, -0.8410426540284381, -4.172, -16.71852272727273, -50.491578947368424, -61.74]","[-7.65217381079252, -4.274213179522451, 16.24661076497045, 38.712590096192216, 70.19539695536946, 38.6140128681647]","[-3.1116042992729107, -3.155376628715351, -5.60739683418169, -12.864236683707812, 4.453683400773935, -19.52564749802709]"
2015-03-19 03:00:00,"[-11.503023255813954, -24.80189573459717, -6.693533333333338, -21.813456090651556, -55.66947368421052, nan]","[820.6467441860464, 1495.7721327014222, 3034.7579666666666, 5629.962209631728, 10524.411278195488, 16324.914]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.9655813953488384, -0.319715639810425, -4.261333333333334, -17.488895184135977, -51.038195488721804, -61.519999999999996]","[-10.881219291810043, -5.877149477063884, 15.121521234660433, 32.63480335087703, 73.24754734255767, 38.74650858135147]","[-2.073277722539711, -0.7945574320642448, -7.9540200716885625, -11.838039923799007, 7.768800553547395, -16.775141035331327]"
