,Avg 250hPa DWPDEP(C),Min 250hPa DWPDEP(C),Max 250hPa DWPDEP(C),Avg 500hPa DWPDEP(C),Min 500hPa DWPDEP(C),Max 500hPa DWPDEP(C),Avg 700hPa DWPDEP(C),Min 700hPa DWPDEP(C),Max 700hPa DWPDEP(C),Avg 850hPa DWPDEP(C),Min 850hPa DWPDEP(C),Max 850hPa DWPDEP(C),Avg 925hPa DWPDEP(C),Min 925hPa DWPDEP(C),Max 925hPa DWPDEP(C),Avg 250hPa HGT(m),Min 250hPa HGT(m),Max 250hPa HGT(m),Avg 500hPa HGT(m),Min 500hPa HGT(m),Max 500hPa HGT(m),Avg 700hPa HGT(m),Min 700hPa HGT(m),Max 700hPa HGT(m),Avg 850hPa HGT(m),Min 850hPa HGT(m),Max 850hPa HGT(m),Avg 925hPa HGT(m),Min 925hPa HGT(m),Max 925hPa HGT(m),Avg 250hPa TMPC,Min 250hPa TMPC,Max 250hPa TMPC,Avg 500hPa TMPC,Min 500hPa TMPC,Max 500hPa TMPC,Avg 700hPa TMPC,Min 700hPa TMPC,Max 700hPa TMPC,Avg 850hPa TMPC,Min 850hPa TMPC,Max 850hPa TMPC,Avg 925hPa TMPC,Min 925hPa TMPC,Max 925hPa TMPC,Avg 250hPa WSPD(m/s),Min 250hPa WSPD(m/s),Max 250hPa WSPD(m/s),Avg 500hPa WSPD(m/s),Min 500hPa WSPD(m/s),Max 500hPa WSPD(m/s),Avg 700hPa WSPD(m/s),Min 700hPa WSPD(m/s),Max 700hPa WSPD(m/s),Avg 850hPa WSPD(m/s),Min 850hPa WSPD(m/s),Max 850hPa WSPD(m/s),Avg 925hPa WSPD(m/s),Min 925hPa WSPD(m/s),Max 925hPa WSPD(m/s)
2015-10-19 12:00:00,7.90280766381362,4.4395488721804455,11.643082706766918,8.055880686811498,1.5945454545454556,14.51685552407932,10.80442158340854,1.3812666666666669,16.239900000000002,12.19077980892199,10.682085308056873,14.059714285714287,16.398966408268738,12.844186046511629,19.000620155038764,10723.382307766273,10709.223533834587,10735.275977443609,5811.081877497244,5803.419886363637,5818.096657223797,3161.7158797030665,3154.3649163879595,3167.7825000000007,1557.220552922591,1548.2337440758297,1563.2272037914697,842.004074074074,833.0179844961241,848.3899999999998,-50.99943159786258,-51.22992481203008,-50.609811320754716,-12.3486352898186,-13.360000000000001,-11.71227272727273,3.5649895772504476,2.7719999999999985,4.647023411371239,13.41179116828406,12.861327014218007,14.020000000000003,15.466528854435833,14.410542635658913,15.916744186046511,24.61159616021185,16.23894736842105,37.69624060150376,21.692041653867474,20.034843304843303,25.363068181818182,21.60950632974111,14.913533333333337,27.113478260869567,20.8355850447604,17.80457142857143,28.05440758293839,30.26890611541775,23.467131782945735,38.378914728682176
2015-10-20 12:00:00,5.714396620482022,3.9913533834586445,8.732857142857142,5.7386163154204946,2.1906250000000007,10.139971671388103,8.163081819468776,3.810699999999996,12.897926421404684,9.439759723162569,2.201990521327012,14.621469194312796,11.1682399332472,8.885813953488372,13.771627906976745,10746.811137324445,10725.796616541353,10761.314962406015,5827.697845558989,5815.088125,5837.432464589235,3177.996221279633,3170.299333333334,3185.0497333333333,1566.8170157225604,1561.1002857142853,1571.970663507109,848.318209383075,842.9110937499998,852.9881395348841,-50.32818492772813,-50.90812030075188,-49.74981132075472,-13.20550175980771,-13.679886363636365,-12.84271954674221,4.948691977373136,4.162999999999996,5.960401337792642,13.680870633666842,12.960853080568718,14.131469194312796,18.09188011412575,16.767906976744186,19.550077519379844,38.71693356031588,25.03548872180451,48.631735849056604,26.26153849042836,21.983636363636364,37.59153409090909,22.648330566910275,14.489599999999998,28.811266666666665,22.356930113593616,17.745308056872037,26.30085714285714,27.030268760766578,23.052031249999995,32.463488372093025
2015-10-21 12:00:00,6.470601162293763,3.900867924528299,11.39022471910112,7.477467733221202,2.4178409090909074,18.090903954802258,11.469914147994187,9.396800000000002,14.440317460317459,3.2123604308694182,0.9624528301886794,5.525943396226417,7.615817398794143,6.322790697674412,9.402403100775198,10791.871406118174,10757.557969924812,10823.82191011236,5843.391986447416,5830.121363636364,5852.50197740113,3184.26506720808,3177.121333333334,3191.9343037974686,1577.079667496299,1567.7039999999997,1586.3983018867928,858.6386856158484,845.5244961240307,869.9572868217053,-48.96719799758506,-49.856629213483146,-47.30157303370787,-12.038913070381476,-13.592954545454544,-10.73231638418079,4.831292862365692,4.2634177215189855,5.710234113712374,13.224715249478729,11.956113744075829,14.127677725118486,17.359173126614987,15.433798449612404,19.78728682170543,52.104658759588304,30.00977443609023,72.40654135338345,30.11549107524647,22.050481586402267,37.35388101983003,19.98511418768625,6.678412698412698,28.158481012658232,16.24600626659797,8.65308056872038,26.561042654028434,11.849839793281655,2.6207751937984503,28.94348837209303
2015-10-22 12:00:00,4.542391847256792,3.809393939393942,7.073007518796992,7.0342411896043995,0.8517714285714266,15.19974212034384,12.029656767251884,0.14632996632996598,28.161806020066887,2.6509414904579156,0.21322916666666458,5.50314285714286,5.863212074720069,0.3674999999999997,9.888449612403102,10799.243128617834,10771.759393939394,10814.94196226415,5815.159098030216,5778.342865329513,5843.340481586402,3144.077736257832,3108.9529629629624,3176.679492063493,1536.1271679944684,1500.6492187499998,1569.5556872037916,820.3305379925711,785.1003125000003,851.7529457364345,-46.48099810704578,-47.53142857142857,-45.337272727272726,-10.535101739455401,-11.142152974504253,-9.798108882521491,5.552160451372427,4.632592592592594,6.201073825503355,11.99521668598886,11.025714285714285,12.755183246073301,16.8736179748062,15.274374999999997,18.63375,54.44354087071118,34.77075187969925,78.51117424242425,27.663254720775004,12.5842492917847,40.29610315186246,26.64286137962134,11.324571428571428,36.33286195286195,25.920987499206532,9.762938388625592,44.97450261780105,25.05171726959518,13.736511627906978,39.00453125
2015-10-23 12:00:00,4.01773003468739,3.794210526315787,4.3545112781954955,23.58067713062219,14.90485632183908,30.958571428571425,24.247992342524956,3.011554054054055,48.043400673400676,8.782301894677735,0.30319371727748745,31.15981042654029,2.0711840476109526,0.1700000000000017,5.035000000000002,10708.56840203699,10682.775714285714,10743.957121212121,5749.330536144863,5730.939342857143,5770.035501432665,3094.6930820430325,3077.124848484849,3108.987777777778,1493.1287838046478,1476.1236125654445,1522.5200947867302,786.6606829695363,766.2447368421057,826.5225000000003,-43.83751032983408,-45.400684410646384,-43.107368421052634,-11.671749343471888,-12.715172413793102,-10.757701149425287,4.194680752760463,1.7667558528428093,5.218716216216214,10.507022840624304,7.277500000000003,13.435811518324606,12.208100392696858,6.589999999999999,16.64,107.51002646969442,91.69049429657794,115.2884090909091,49.30116188212813,36.86627840909091,61.761551724137924,40.61168625422491,26.049364548494985,53.02547297297298,31.18002248531192,19.895308056872043,41.239633507853405,28.561174683519205,19.575,34.605625
2015-10-24 12:00:00,6.753759273339402,3.990827067669173,17.50449438202247,13.843072920567959,5.687746478873239,26.750056818181818,26.450961855478067,20.36940063091483,30.58822784810126,21.48254560493606,13.988679245283013,27.619715639810426,11.514476475640302,5.998837209302321,18.72812499999999,10679.867071549035,10677.358127340824,10681.582022471912,5750.645758656091,5744.19290140845,5757.73606741573,3125.894753099251,3100.947466666667,3141.166782334385,1557.3484467992093,1524.6007582938387,1571.7368867924527,862.5245979313314,828.446821705426,877.7450344827585,-46.48783957396613,-48.34352059925094,-42.870526315789476,-13.465350993642337,-15.129014084507043,-11.841250000000002,-0.7560123187060059,-1.7208832807570975,0.8573333333333323,5.847085904199827,4.343301886792453,7.430521327014219,8.091647707584624,6.475658914728682,9.642325581395351,89.69840778600684,51.07595505617978,118.64105263157894,36.820857210965144,28.013521126760565,42.35028169014085,17.091615206338922,8.490473186119878,33.772800000000004,13.396285358729022,9.776415094339619,18.148483412322275,16.906810315126673,11.974883720930231,20.698611111111113
2015-10-25 12:00:00,7.317156296792253,3.871879699248119,15.259662921348315,13.839293872273009,8.388394366197186,17.54056338028169,15.548993850400946,9.52847619047619,24.136571428571436,20.45453091456026,4.271137440758294,34.122264150943394,11.837790843799095,4.2736434108527135,14.700697674418606,10698.075897377092,10680.994194756555,10713.435468164793,5760.622998871194,5749.6995774647885,5771.604717514125,3138.361192681674,3131.71619047619,3146.3794637223978,1560.9493687670586,1547.141848341232,1571.3015962441316,862.7179474671786,843.6017054263566,877.2813194444444,-47.472943521622916,-48.24052434456929,-46.36337078651685,-13.743259829673669,-14.441690140845072,-13.205042492917848,0.10169236989978714,-1.551798107255523,1.36857142857143,7.438459341301219,5.296603773584906,8.97490566037736,9.62735288148346,8.128965517241378,11.1384496124031,59.67703988552259,54.75865168539326,65.32573033707865,21.069645797073488,15.031779661016952,26.398309859154928,8.925408531259214,6.3058359621451086,12.045460317460316,18.007908926895567,14.679530516431925,20.70221698113207,23.957688225625642,18.433333333333334,31.757906976744188
2015-10-26 12:00:00,4.390223991538583,4.04124528301886,5.309248120300751,4.810821346321353,0.8977142857142848,13.04454802259887,2.2403775630407483,0.09154882154882152,16.387238095238096,1.0484759990763495,0.09407407407407398,4.444502369668248,1.0574540310126792,0.10649122807017619,4.5280620155038775,10636.936226961865,10583.77358778626,10689.317293233084,5719.825085260066,5651.506531791907,5763.552994350283,3079.060124991118,2995.968877551021,3136.6759047619053,1494.124564799549,1408.4580952380952,1552.4559241706163,790.041827442511,705.2457894736842,847.2900775193797,-50.23878911629014,-51.18053231939164,-48.35172932330827,-13.037597945162052,-14.435637393767704,-11.695632183908044,0.7822353822389232,-0.12902356902356957,2.3101694915254227,8.400006268019268,7.4247619047619065,9.243791469194312,10.93157468446774,9.750434782608695,12.338449612403101,57.128187909003856,47.11082706766916,66.17593984962406,26.513217910530912,15.88056657223796,44.05341040462427,19.56379865612591,10.335714285714287,26.937912457912454,22.384129745815343,13.866113744075829,33.26361256544502,25.837264048539787,18.181007751937987,31.906140350877195
2015-10-27 12:00:00,15.16143900610372,4.009233716475094,23.892528735632183,13.467361944569184,0.8506395348837206,31.992965116279066,4.384044181759794,0.08040955631399349,13.452150170648464,2.621499661473587,0.025661375661375274,8.562857142857142,2.524300749991161,0.08118811881188215,9.050353982300887,10383.94898425249,10298.426590038314,10562.344809160306,5534.525525149113,5437.079505813954,5645.9279360465125,2929.9148242320125,2882.501160409556,2986.6291467576793,1360.2118218229334,1345.4050267379678,1394.0748148148145,662.7683543447001,640.0217999999995,687.7136842105265,-48.92607390683858,-50.74854961832062,-45.98567049808429,-16.65278074053939,-19.870526315789473,-11.539069767441863,-1.8944652311102996,-10.90778156996587,2.8715068493150677,5.705363455361368,-0.31555555555555626,9.56127659574468,9.377713782836132,5.08513274336283,12.147920792079208,77.65174871954858,51.16505747126437,139.9814503816794,53.42327067042916,33.33561046511628,100.71386627906978,37.64276557067225,23.74219178082192,62.469180887372026,29.550290107971932,18.103936170212762,40.57037037037038,27.958083544755656,20.336599999999997,31.782719298245617
2015-10-28 12:00:00,17.24101746465028,14.55623574144488,18.570725190839703,23.82753646170432,14.598616714697407,38.5852,10.782292792982952,1.144095563139933,19.613355704697984,4.640191644517539,0.5258947368421047,10.453650793650795,6.331878715930818,2.735813953488372,9.978495575221238,10399.32962959064,10302.219541984732,10530.1625,5527.477037295156,5394.635739130435,5633.014399999999,2942.2570395449784,2875.056689419795,3017.7092953020133,1402.2203201343318,1359.3816931216934,1456.6324999999997,722.8481982511101,680.0512389380533,774.3139534883719,-48.84220963765804,-50.512091254752846,-47.91458015267175,-17.217013075263722,-22.724057971014492,-13.811999999999998,-4.727284617904234,-11.471945392491467,-0.5748148148148151,-1.0824854918953384,-3.960529100529102,0.4650000000000003,3.1971687668017825,0.639999999999997,5.479473684210527,90.39124543821805,49.370000000000005,144.1136641221374,51.242309465985414,23.499999999999996,102.33573913043477,42.24902800826572,27.603087248322144,66.26296928327645,32.47206608264894,15.980833333333333,50.15148148148148,28.234887207093347,14.575891472868218,36.69637168141593
2015-10-29 12:00:00,9.72730388865245,3.874528301886798,18.448571428571434,16.196519455698617,1.2646438746438768,35.588057142857146,21.96038288523131,4.394832214765097,31.057625418060198,7.502837860312787,2.979842931937172,11.969047619047618,4.393249690460809,2.292790697674419,6.059375000000001,10613.791835563752,10547.057886792452,10669.263396226415,5691.29136117545,5650.001771428572,5716.8725,3059.5775603254247,3023.375521885522,3082.0023745819394,1488.9121089184837,1460.652198952879,1502.3059241706167,801.7349193179373,778.2300000000002,816.7364341085274,-47.85666335650447,-50.014716981132075,-45.550943396226415,-13.418698227698227,-14.21,-12.49977272727273,0.7548977246244051,-0.601610738255034,2.2577257525083634,3.242104490429098,0.16513089005235695,5.659047619047619,5.594181470714901,3.890387596899223,7.246250000000001,80.78309446572405,38.391052631578944,122.59996226415095,28.40501479328285,18.83851851851852,37.259772727272725,22.054590561049075,14.828795986622074,30.6348322147651,10.91044516993749,2.6479047619047673,19.654047619047617,11.232059579565028,4.1757364341085275,22.22031007751938
2015-10-30 12:00:00,6.368502718746395,3.815323193916349,15.630000000000003,11.102160574326595,1.0472000000000001,25.21666666666667,6.923910625739443,0.16218855218855222,31.202702702702705,3.6026089566284085,0.18710526315789533,12.331308900523554,1.9688497514149148,0.09403508771929836,5.415703125,10648.05566796811,10593.602129277566,10685.763773584906,5671.712589188875,5640.260547550432,5705.732051282051,3035.849993253032,3012.9009491525426,3070.592214765101,1452.870521861846,1425.5999473684212,1489.7058571428574,754.7930818010755,721.4773684210526,795.9469531250002,-43.37530463316206,-44.72981132075471,-41.83099236641222,-13.17896252725648,-14.976426512968299,-12.035574712643678,0.764610786386086,-0.6261073825503348,2.6278378378378386,6.828960969085745,4.319057591623035,9.085789473684208,8.38699501106419,5.671249999999998,11.909298245614035,134.16916124797072,107.51500000000001,157.42882129277567,56.52137018790823,32.254200000000004,75.8129682997118,39.563453075926546,30.319999999999997,45.54736486486487,34.94006303234454,16.830476190476197,48.72868421052632,29.595797634120895,16.687031249999997,39.29675438596491
2015-10-31 12:00:00,8.418708134505254,3.7376603773584947,25.5925,20.92766344388045,16.100571428571428,25.14994252873563,17.19374033717807,8.224848484848485,34.01135135135135,17.470304713253828,11.992774869109947,27.20680628272252,15.751694992690059,6.247631578947367,19.54,10655.116146784583,10604.826439393939,10690.774830188679,5723.191530781263,5678.198270893372,5744.177492877493,3079.1255808777223,3043.4091891891894,3102.721543624161,1488.3277331176073,1455.2065445026174,1509.6085937500002,781.5586384986003,751.0435087719295,799.47511627907,-43.06967215619378,-43.989056603773584,-42.19924528301887,-12.845287006020746,-13.457142857142857,-12.34624641833811,1.9663905514558004,1.2918518518518511,2.479057239057237,10.384132368625167,9.268645833333334,11.520628272251306,13.253987488100094,11.07859649122807,15.0228125,128.34927843987376,48.905000000000015,159.36477272727268,37.62118210668249,24.305,59.96080691642651,23.451314160832247,8.50959595959596,40.337297297297305,18.38926534928253,6.11795811518325,27.945026178010473,16.124373884383925,5.5731249999999966,27.259385964912283
2015-11-01 12:00:00,19.517421907756816,12.834999999999994,23.167500000000004,21.00071096966519,17.391481481481478,24.510285714285715,11.890583350281336,8.885723905723905,17.0451677852349,16.196631277874733,13.166387434554974,21.74145833333333,16.557682291666666,12.612499999999997,18.57203125,10692.623360285243,10647.4,10775.317358490565,5767.406268445366,5745.740372492836,5801.110000000001,3111.957279870542,3097.7970033670035,3131.4188255033555,1512.228604506011,1503.8971727748687,1522.8741666666667,798.7247048611111,791.5852343750003,807.6371875000002,-44.49019836732101,-47.06,-42.735,-11.615448199706718,-12.939142857142857,-10.26,2.659397931590326,1.3958922558922553,4.53765100671141,12.787081636610433,11.734240837696335,14.058749999999998,15.700677083333334,14.5525,16.711875,55.50612307032591,45.925000000000004,74.9188679245283,26.065181963727078,21.344615384615384,30.69214285714286,7.530170107739085,3.508187919463086,10.82231543624161,11.992801380405275,7.014583333333331,18.29729166666667,16.039392361111112,9.897812500000002,21.550546875000002
