,6,9,4
Date,TMPC,WSPD,PRCP
2010-01-14 03:00:00,-2.76,5.546169849544818,0.0
2010-01-14 06:00:00,-2.86,5.813776741499454,0.0
2010-01-13 12:00:00,-7.76,6.146543744251724,0.0
2010-01-13 15:00:00,-4.66,6.640783086353596,0.0
2010-01-13 18:00:00,-0.26,7.432361670424818,0.0
2010-01-13 21:00:00,0.54,6.670832032063166,0.0
2010-01-14 00:00:00,-1.86,6.264982043070834,0.0
2010-01-14 03:00:00,-2.56,6.0835844697020525,0.0
2010-01-14 06:00:00,-2.96,5.635601121442147,0.0
2010-01-14 09:00:00,-2.96,5.724508712544683,0.0
2010-01-14 12:00:00,-3.26,4.701063709417262,0.0
2010-01-14 15:00:00,-2.06,4.623851208678757,0.01
2010-01-14 18:00:00,0.94,5.053711507397312,0.08
2010-01-14 21:00:00,1.24,4.7539457296018846,0.14
2010-01-15 00:00:00,1.14,4.6141087980237305,0.22
2010-01-15 03:00:00,1.04,3.6878177829171546,0.22
2010-01-15 06:00:00,0.94,2.8160255680657453,0.2
2010-01-14 12:00:00,-2.26,4.0024992192379,0.0
2010-01-14 15:00:00,-0.76,5.375872022286245,0.01
2010-01-14 18:00:00,1.64,5.462600113499065,0.1
2010-01-14 21:00:00,2.14,5.0774009099144415,0.07
2010-01-15 00:00:00,1.64,4.560701700396551,0.14
2010-01-15 03:00:00,1.64,3.7013511046643495,0.15
2010-01-15 06:00:00,1.54,3.132091952673165,0.08
2010-01-15 09:00:00,1.24,2.549509756796392,0.11
2010-01-15 12:00:00,0.74,2.459674775249769,0.09
2010-01-15 15:00:00,0.54,2.8071337695236402,0.08
2010-01-15 18:00:00,1.64,3.014962686336267,0.02
2010-01-15 21:00:00,1.54,0.8602325267042626,0.01
2010-01-16 00:00:00,0.14,2.5179356624028344,0.02
2010-01-16 03:00:00,-0.66,1.4142135623730951,0.0
2010-01-16 06:00:00,-1.76,2.4413111231467406,0.0
2010-01-15 12:00:00,1.34,1.9235384061671343,0.0
2010-01-15 15:00:00,1.54,2.325940669922601,0.03
2010-01-15 18:00:00,2.44,1.3341664064126335,0.01
2010-01-15 21:00:00,2.74,2.0518284528683197,0.0
2010-01-16 00:00:00,-1.16,1.2806248474865698,0.0
2010-01-16 03:00:00,-1.86,1.4317821063276353,0.0
2010-01-16 06:00:00,-1.96,0.2,0.0
2010-01-16 09:00:00,-1.26,2.0591260281974,0.0
2010-01-16 12:00:00,-1.96,2.0248456731316584,0.0
2010-01-16 15:00:00,-0.26,1.5811388300841898,0.0
2010-01-16 18:00:00,2.54,1.8384776310850235,0.0
2010-01-16 21:00:00,2.14,0.14142135623730953,0.0
2010-01-17 00:00:00,-0.46,1.6643316977093237,0.0
2010-01-17 03:00:00,-0.46,2.4,0.0
2010-01-17 06:00:00,-0.36,1.9104973174542799,0.0
2010-01-16 12:00:00,-4.36,1.2806248474865698,0.0
2010-01-16 15:00:00,-2.56,2.102379604162864,0.0
2010-01-16 18:00:00,0.94,2.0248456731316584,0.0
2010-01-16 21:00:00,1.44,0.36055512754639896,0.0
2010-01-17 00:00:00,-1.16,0.8062257748298549,0.0
2010-01-17 03:00:00,-0.76,1.4317821063276353,0.0
2010-01-17 06:00:00,-1.66,1.3341664064126335,0.0
2010-01-17 09:00:00,-0.96,2.3086792761230392,0.0
2010-01-17 12:00:00,-1.56,3.1016124838541645,0.0
2010-01-17 15:00:00,0.24,3.1048349392520045,0.0
2010-01-17 18:00:00,2.44,3.4132096331752027,0.0
2010-01-17 21:00:00,2.34,3.3241540277189316,0.0
2010-01-18 00:00:00,-1.36,3.061045573002793,0.0
2010-01-18 03:00:00,-1.76,2.6476404589747453,0.0
2010-01-18 06:00:00,-1.46,3.125699921617557,0.0
2010-01-17 12:00:00,-3.86,1.6552945357246849,0.0
2010-01-17 15:00:00,-2.06,4.060788100849392,0.0
2010-01-17 18:00:00,0.94,3.981205847478877,0.0
2010-01-17 21:00:00,1.34,3.88329756778952,0.0
2010-01-18 00:00:00,-1.96,3.4409301068170506,0.0
2010-01-18 03:00:00,-2.36,3.176476034853718,0.0
2010-01-18 06:00:00,-2.06,3.4525353003264136,0.0
2010-01-18 09:00:00,-2.46,2.9832867780352594,0.0
2010-01-18 12:00:00,-2.96,3.0066592756745814,0.0
2010-01-18 15:00:00,-0.96,2.6172504656604803,0.0
2010-01-18 18:00:00,2.14,2.5079872407968904,0.0
2010-01-18 21:00:00,2.34,2.459674775249769,0.0
2010-01-19 00:00:00,0.34,2.3086792761230392,0.17
2010-01-19 03:00:00,-0.26,1.7804493814764857,0.13
2010-01-19 06:00:00,-0.66,2.3769728648009423,0.02
2010-01-18 12:00:00,-4.36,3.0016662039607267,0.0
2010-01-18 15:00:00,-2.86,3.036445290137796,0.0
2010-01-18 18:00:00,0.94,3.0413812651491097,0.0
2010-01-18 21:00:00,1.64,3.1906112267087634,0.0
2010-01-19 00:00:00,-1.36,2.5019992006393608,0.0
2010-01-19 03:00:00,-0.96,1.7204650534085253,0.0
2010-01-19 06:00:00,-2.16,1.503329637837291,0.0
2010-01-19 09:00:00,-2.66,1.9235384061671343,0.0
2010-01-19 12:00:00,-3.56,2.5709920264364885,0.0
2010-01-19 15:00:00,-2.16,2.8178005607210737,0.0
2010-01-19 18:00:00,0.94,2.195449840010015,0.0
2010-01-19 21:00:00,1.44,2.4413111231467406,0.0
2010-01-20 00:00:00,-2.16,2.9206163733020465,0.0
2010-01-20 03:00:00,-3.06,3.623534186398688,0.0
2010-01-20 06:00:00,-3.66,3.5902646142032486,0.0
2010-01-19 12:00:00,-4.86,2.549509756796392,0.0
2010-01-19 15:00:00,-3.36,2.118962010041709,0.0
2010-01-19 18:00:00,0.34,1.6492422502470645,0.0
2010-01-19 21:00:00,0.84,1.7029386365926402,0.0
2010-01-20 00:00:00,-2.66,3.1400636936215163,0.0
2010-01-20 03:00:00,-3.66,3.9395431207184415,0.0
2010-01-20 06:00:00,-4.06,3.920459156782532,0.0
2010-01-20 09:00:00,-3.96,5.021951811795889,0.0
2010-01-20 12:00:00,-3.16,5.943904440685433,0.0
2010-01-20 15:00:00,-1.66,7.433034373659253,0.1
2010-01-20 18:00:00,0.14,6.888396039717809,2.32
2010-01-20 21:00:00,0.54,7.66550715869472,1.44
2010-01-21 00:00:00,0.74,7.119691004531026,1.56
2010-01-21 03:00:00,1.04,6.772001181334804,0.55
2010-01-21 06:00:00,1.34,5.7070132293521105,0.33
2010-01-20 12:00:00,-3.16,6.312685640834651,0.0
2010-01-20 15:00:00,-2.26,8.2,0.61
